X,Y
-3.7e-05,2.4e-05
-3.0799999999999996e-05,5.6e-06
-2.42e-05,-4.88e-05
-5.199999999999999e-06,-2.84e-05
1.96e-05,-1.06e-05
2.62e-05,2.3199999999999998e-05
2.5399999999999997e-05,-4.5799999999999995e-05
3.2999999999999996e-05,-1.9999999999999998e-05
3.96e-05,3.26e-05
